X Y THETA
672 216 0
738 523 0
738 523 0
738 522 0
689 230 0
689 230 0
479 499 0
436 223 0
436 223 0
689 231 0
738 523 0
688 231 0
689 230 0
689 230 0
672 216 0
689 231 0
689 231 0
574 496 0
669 218 0
689 230 0
688 231 0
688 231 0
738 523 0
738 523 0
738 523 0
738 524 0
688 231 0
689 230 0
689 230 0
690 229 0
690 229 0
690 229 0
850 238 0
738 526 0
738 526 0
738 524 0
738 524 0
688 231 0
738 523 0
687 232 0
689 230 0
689 231 0
688 231 0
686 234 0
686 234 0
688 232 0
688 232 0
689 231 0
738 525 0
670 218 0
502 500 0
738 524 0
738 523 0
738 523 0
686 233 0
738 524 0
574 499 0
687 232 0
689 231 0
738 525 0
421 483 0
688 232 0
479 499 0
479 499 0
479 499 0
479 499 0
479 499 0
688 231 0
670 218 0
738 523 0
689 230 0
502 501 0
669 218 0
574 497 0
574 497 0
574 498 0
738 523 0
738 523 0
689 231 0
688 231 0
694 223 0
694 223 0
738 526 0
689 230 0
738 523 0
738 523 0
738 523 0
689 230 0
688 231 0
688 231 0
502 501 0
502 501 0
738 524 0
689 230 0
688 232 0
688 232 0
738 526 0
689 230 0
689 230 0
435 223 0
435 223 0
738 524 0
689 230 0
694 222 0
738 524 0
738 524 0
738 524 0
738 524 0
738 524 0
738 524 0
738 524 0
688 231 0
738 524 0
479 499 0
669 218 0
693 496 0
669 218 0
688 231 0
502 502 0
502 502 0
738 524 0
738 524 0
738 524 0
694 222 0
689 230 0
688 231 0
669 218 0
669 218 0
689 230 0
689 230 0
706 223 0
738 524 0
738 524 0
688 231 0
688 231 0
738 523 0
738 523 0
738 523 0
670 218 0
738 523 0
738 523 0
738 523 0
694 223 0
689 231 0
738 523 0
738 524 0
738 524 0
689 230 0
689 230 0
688 231 0
689 231 0
689 231 0
689 231 0
479 505 0
479 505 0
689 231 0
688 232 0
738 523 0
738 523 0
493 499 177.516
493 499 177.516
502 503 0
694 223 0
694 223 0
694 223 0
694 223 0
689 230 0
738 524 0
738 524 0
502 504 0
688 231 0
688 231 0
689 230 0
502 502 0
502 502 0
479 499 0
738 523 0
738 523 0
738 523 0
738 523 0
668 219 0
688 231 0
502 500 0
502 500 0
502 500 0
688 231 0
688 231 0
688 231 0
688 231 0
738 523 0
479 501 0
479 501 0
689 231 0
689 231 0
670 218 0
670 218 0
688 231 0
738 523 0
574 498 0
689 230 0
738 524 0
419 483 0
419 483 0
419 483 0
688 232 0
670 217 0
738 524 0
417 483 0
688 231 0
583 220 0
574 496 0
669 218 0
688 231 0
694 223 0
688 231 0
435 223 0
479 499 0
479 499 0
423 483 0
738 525 0
738 525 0
502 501 0
502 501 0
502 502 0
479 500 0
493 500 175.035
738 524 0
738 524 0
502 503 0
497 497 45.0013
497 497 45.0013
689 230 0
669 218 0
688 231 0
688 231 0
688 231 0
688 231 0
738 523 0
689 230 0
689 230 0
689 231 0
502 500 0
502 500 0
502 500 0
690 229 0
690 229 0
423 483 0
423 483 0
479 500 0
502 499 0
502 503 0
479 499 0
688 231 0
688 231 0
688 231 0
687 232 0
479 499 0
479 499 0
417 483 0
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
670 217 0
670 217 0
420 483 0
420 483 0
738 523 0
687 232 0
669 218 0
669 218 0
669 218 0
738 524 0
689 230 0
479 499 0
479 499 0
738 524 0
738 524 0
738 524 0
738 524 0
479 499 0
689 230 0
574 498 0
574 498 0
574 498 0
479 501 0
421 483 0
421 483 0
421 483 0
421 483 0
689 230 0
689 230 0
689 230 0
738 523 0
738 523 0
738 523 0
502 502 0
574 498 0
422 483 0
422 483 0
422 483 0
502 501 0
671 217 0
671 217 0
