X Y THETA
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
493 500 177.516
493 500 177.516
493 499 175.035
487 501 0
487 501 0
487 501 0
487 501 0
487 501 0
487 501 0
487 501 0
487 501 0
487 499 2.48963
487 499 2.48963
498 497 -146.314
498 497 -146.314
498 497 -146.314
498 497 -146.314
498 497 -146.314
498 497 -146.314
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
479 505 0
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 0
487 500 0
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
491 495 16.39
498 497 -143.134
498 497 -143.134
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
496 497 41.6348
496 497 41.6348
496 497 41.6348
498 497 -150.95
691 226 127.879
691 226 127.879
691 226 127.879
691 226 127.879
495 496 30.9647
495 496 30.9647
495 496 30.9647
495 496 30.9647
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 501 0
690 227 -56.3116
690 227 -56.3116
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
495 496 32.4721
495 496 32.4721
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
494 497 33.6911
494 497 33.6911
494 497 33.6911
494 497 33.6911
487 501 0
493 499 175.035
493 499 175.035
493 499 175.035
496 495 29.0555
496 495 29.0555
487 498 2.48963
480 497 -51.3417
480 497 -51.3417
480 497 -51.3417
480 497 -51.3417
480 497 -51.3417
480 497 -51.3417
480 497 -51.3417
487 503 -4.96989
487 503 -4.96989
487 503 -4.96989
487 503 -4.96989
487 503 -4.96989
487 500 0
487 500 0
487 500 0
493 499 177.516
493 499 177.516
493 499 177.516
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
493 501 -177.516
497 498 -146.314
497 498 -146.314
497 498 -146.314
497 498 -146.314
497 498 -146.314
482 495 135.004
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 501 2.48963
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
487 500 4.96989
692 225 125.541
692 225 125.541
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 502 0
487 502 0
487 502 0
487 502 0
487 502 0
487 502 0
487 501 4.96989
487 501 4.96989
487 501 4.96989
487 501 4.96989
479 500 90.0027
487 499 4.96989
487 499 4.96989
487 499 4.96989
491 496 22.3808
491 496 22.3808
491 496 22.3808
491 496 22.3808
491 496 22.3808
487 499 4.96989
495 496 30.9647
688 230 126.874
688 230 126.874
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
691 227 -60.2569
493 499 177.516
493 499 177.516
493 499 177.516
487 499 4.96989
487 499 4.96989
487 499 4.96989
493 500 180.005
493 500 180.005
493 500 180.005
493 500 180.005
496 496 37.8761
496 496 37.8761
487 499 2.48963
487 499 2.48963
487 499 2.48963
691 226 126.874
691 226 126.874
691 226 126.874
691 226 126.874
691 226 126.874
691 226 126.874
487 497 144.467
487 497 144.467
479 503 0
479 503 0
479 503 0
479 503 0
479 503 0
479 503 0
479 503 0
479 503 0
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
479 499 0
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
479 499 90.0027
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 500 2.48963
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
487 499 4.96989
691 226 126.874
498 496 49.4002
487 499 0
487 499 0
487 499 0
691 226 126.874
691 226 126.874
691 226 126.874
